Web;Navegador;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
googleapis.com;FIREFOX;2405.0;4552.706083953661;709;18220;54;78.79
googlesyndication.com;CHROME;3850.8372093023254;4476.81701901358;716;13296;117;107.78294573643412
googlesyndication.com;EDGE;10259.073770491803;10849.351237158846;689;66682;42;71.12295081967213
googlesyndication.com;FIREFOX;2369.84;4438.314979012789;737;18250;54;77.48
googletagmanager.com;CHROME;4240.5952380952385;4595.569409294098;670;13894;117;104.98809523809524
googletagmanager.com;EDGE;9156.612612612613;9289.913866095629;699;71961;118;69.63063063063063
googletagmanager.com;FIREFOX;2466.63;4652.267763850837;730;17687;54;76.92
googleusercontent.com;CHROME;4065.965909090909;4582.400137680357;699;12592;117;105.55681818181819
googleusercontent.com;EDGE;10632.793388429753;11531.846934263793;708;71604;43;67.02479338842976
googleusercontent.com;FIREFOX;2409.701030927835;4546.7843837819155;727;18242;54;77.6701030927835
googlevideo.com;CHROME;4388.142857142857;4719.155311826774;680;13344;117;105.03296703296704
googlevideo.com;EDGE;10158.336283185841;10500.930864869126;720;72500;43;66.10619469026548
googlevideo.com;FIREFOX;2307.0442477876104;4295.418326105029;744;17157;54;82.69026548672566
gstatic.com;CHROME;4012.7978723404253;4705.9946752452115;677;18462;118;106.25531914893617
gstatic.com;EDGE;8005.936170212766;11333.433972489769;711;71352;117;78.92553191489361
gstatic.com;FIREFOX;3366.443396226415;9406.778155068307;726;72135;54;79.5
gvt1.com;CHROME;4019.0117647058823;4459.877727595011;713;13456;117;105.08235294117647
gvt1.com;EDGE;14556.55;18812.817365774183;713;122096;42;59.7625
gvt1.com;FIREFOX;2802.246575342466;5059.110755142708;793;17200;54;64.43835616438356
gvt2.com;CHROME;4150.549450549451;4468.370392147049;714;12751;117;105.84615384615384
gvt2.com;EDGE;14322.3125;18383.32617428689;710;122202;43;59.8375
gvt2.com;FIREFOX;2931.157142857143;5169.650403440141;902;17314;54;65.02857142857142
icloud.com;CHROME;3630.345744680851;7959.449952284579;672;97275;51;73.06382978723404
icloud.com;EDGE;5445.090909090909;5844.696708125298;689;22220;51;52.99465240641711
icloud.com;FIREFOX;1981.1069182389938;3637.3079132216376;695;17162;51;57.25157232704402
instagram.com;CHROME;4189.65;4715.307290924074;687;13478;117;97.81428571428572
instagram.com;EDGE;8388.941605839416;8092.042555322684;679;54494;84;65.43065693430657
instagram.com;FIREFOX;3440.566371681416;5203.892783765868;723;18259;54;70.80530973451327
kwai-pro.com;CHROME;6670.875;6209.366092271992;812;12608;117;117.0
kwai-pro.com;EDGE;11441.9;2904.8880433580302;8633;16335;40;68.8
kwai-pro.com;FIREFOX;1079.5625;56.319290656044295;1015;1230;54;77.625
linkedin.com;CHROME;5690.625;6411.775956895917;709;52248;117;90.54545454545455
linkedin.com;EDGE;8067.0609137055835;5524.385384259647;702;18446;53;72.8730964467005
linkedin.com;FIREFOX;5646.133333333333;7432.552354640876;817;56386;54;69.2
live.com;CHROME;8526.901639344262;13251.430697842503;695;126739;117;86.20218579234972
live.com;EDGE;10959.108974358975;15231.298095855855;674;115068;51;72.01282051282051
live.com;FIREFOX;7339.067073170731;12042.719241331453;717;117968;54;73.02439024390245
llamarpc.com;CHROME;7317.990384615385;6474.14807854302;721;20160;117;123.15865384615384
llamarpc.com;EDGE;10838.5;9927.393544123686;732;72589;240;102.71818181818182
llamarpc.com;FIREFOX;7959.883838383838;7554.740401875995;789;19265;240;130.63636363636363
merkle.io;CHROME;12839.806722689076;22010.319019964987;703;79486;117;101.72268907563026
merkle.io;EDGE;16454.51111111111;21220.92583926587;700;80672;53;72.28148148148148
merkle.io;FIREFOX;12673.838983050848;23802.378171052227;843;80364;54;78.03389830508475
microsoft.com;CHROME;11456.38864628821;13494.038096853947;687;118805;117;90.66593886462883
microsoft.com;EDGE;12391.221153846154;12460.93039552254;677;97995;51;80.27403846153847
